,City,Country,Lat,Lng,Hotel Name
162,shimoda,JP,34.6667,138.95,Shimoda Tokyu Hotel
163,laurel,US,39.0993,-76.8483,Holiday Inn Express & Suites Laurel
164,tallahassee,US,30.4383,-84.2807,"Hotel Duval, Autograph Collection"
165,waycross,US,31.2136,-82.354,Holiday Inn Express & Suites Waycross
166,gravdal,NO,68.1214,13.5031,Scandic Leknes Lofoten Hotel
167,lorengau,PG,-2.0226,147.2712,Tharapiyap Lodge
168,sindou,BF,10.6667,-5.1667,LERABA HOTEL
169,belmonte,BR,-15.8631,-38.8828,Pousada do Diogo
170,bathsheba,BB,13.2167,-59.5167,Atlantis Hotel
171,hirara,JP,24.8,125.2833,HOTEL LOCUS
172,ishigaki,JP,24.3448,124.1572,Beach Hotel Sunshine
173,meadow lake,US,45.5291,-102.2163,
174,bosaso,SO,11.2842,49.1816,huruuse hotel
175,oistins,BB,13.0667,-59.5333,South Gap Hotel
176,kahului,US,20.8947,-156.47,Maui Beach Hotel
177,izyaslav,UA,50.1195,26.8213,Zaslav
178,sumenep,ID,-7.0167,113.8667,de Baghraf Hotel Sumenep
179,nome,US,64.5011,-165.4064,Aurora Inn & Suites
180,biak,ID,-0.9131,122.8766,
181,pallasovka,RU,50.05,46.8833,"Hotel ""Natalia"""
182,sola,VU,-13.8833,167.55,
183,hithadhoo,MV,-0.6,73.0833,Abuharee Grand
184,evensk,RU,61.95,159.2333,Sberbank Rossii
185,kendari,ID,-3.945,122.4989,Claro Hotel Kendari
186,ekhabi,RU,53.5102,142.9671,
187,flinders,AU,-34.5833,150.8552,Lakeview Hotel Motel
188,standish,US,43.9831,-83.9589,Standish Motel
189,namibe,AO,-15.1961,12.1522,Hotel Chik Chik Namibe
190,majene,ID,-3.5403,118.9707,HOTEL DAFINA INN
191,whyalla,AU,-33.0333,137.5833,Westland Hotel Motel
192,nishihara,JP,26.1842,127.7558,Wellness Resort Okinawa Vacation Center Yuinchi Hotel Nanjo
193,nicoya,CR,10.1483,-85.45200000000001,Hotel Nicoya
194,najran,SA,17.4924,44.1277,
195,paraiso,CR,9.8383,-83.8656,Paraiso Orocay Lodge
196,fort nelson,NL,52.6517,6.3861,Hotel Restaurant Ter Linde
197,kailua,US,21.4022,-157.7394,
198,doha,QA,25.2867,51.5333,The Curve Hotel
199,kavieng,PG,-2.5744,150.7967,Nusa Island Retreat
200,batagay-alyta,RU,67.8006,130.4114,Sberbank Rossii
201,fort saint james,NL,52.6517,6.3861,Hotel Restaurant Ter Linde
202,bambanglipuro,ID,-7.95,110.2833,Puri Brata
203,saint-paul,RE,-21.0096,55.2707,Hôtel & Spa Le Saint Alexis
204,manggar,ID,-2.8833,108.2667,Guest Hotel
205,east london,IS,65.0,-15.0,
206,ilulissat,GL,69.2167,-51.1,Best Western Plus Hotel Ilulissat
207,stykkisholmur,IS,65.0757,-22.7297,Fransiskus Hótel
208,marzuq,YE,14.4,46.4667,
209,busselton,AU,-33.65,115.3333,The Sebel Busselton
210,muncar,ID,-8.4333,114.3333,
211,dukat,RU,62.55,155.55,
212,porbandar,IN,21.6422,69.6093,Lords Inn Porbandar
213,qaqortoq,GL,60.7167,-46.0333,Hotel Qaqortoq
214,kirakira,SB,-10.4544,161.9205,SanBiz Lodge
215,rawlins,US,41.7911,-107.2387,Hampton Inn Rawlins
216,labuhan,ID,-6.8844,112.2051,
217,tasiilaq,GL,65.6145,-37.6368,Hotel Angmagssalik
218,dwarka,IN,22.2394,68.9678,The Dwarika Hotel
219,dingle,PH,10.9995,122.6711,
220,guiratinga,BR,-16.3494,-53.7583,Ópera Palace Hotel
221,sabang,ID,5.8933,95.3214,Casa Nemo Beach Resort & Spa
222,wanning,CN,18.8003,110.3967,Meet Joy Boutique Hotel
223,bengkulu,ID,-3.8004,102.2655,Mercure Bengkulu
224,ligayan,PH,4.6533,119.4706,
225,atuona,PF,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
226,berlevag,NO,70.8578,29.0864,Berlevåg camping & Appartement AS
227,zabid,YE,14.1951,43.3152,
228,bouna,CI,9.2667,-3.0,GNIME'S HÔTEL
229,pringsewu,ID,-5.3582,104.9744,Urban Style by Front One
230,homer,US,59.6425,-151.5483,Aspen Suites Hotel Homer
231,burnie,AU,-41.0667,145.9167,Beachfront Voyager Motor Inn
232,quipot,PH,13.9317,121.3158,
233,seoul,KR,37.5683,126.9778,Lotte Hotel Seoul
234,parana,AR,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
235,paracuru,BR,-3.41,-39.0306,Hotel Vento Brasil
236,kaitangata,NZ,-46.2817,169.8464,
237,nabire,ID,-3.3667,135.4833,Hotel Grand Papua Nabire
238,chara,RU,56.9064,118.2631,Sberbank
239,faanui,PF,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
240,saint-pierre,RE,-21.3393,55.4781,Le Battant Des Lames
241,saint-joseph,RE,-21.3667,55.6167,Gandalf Safari Camp
242,longyearbyen,SJ,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
243,saint-leu,RE,-21.15,55.2833,Iloha Seaview Hotel
244,saint-philippe,RE,-21.3585,55.7679,Les Embruns Du Baril
245,wajir,KE,1.7471,40.0573,Wajir Palace Hotel
246,mazatlan,MX,23.2167,-106.4167,Olas Altas Inn Hotel & Spa
247,tindivanam,IN,12.25,79.65,Aaryas Residency & Restaurant
248,avera,US,33.194,-82.5271,
249,isangel,VU,-19.55,169.2667,Tanna Ikamir Guest House
250,iskateley,RU,67.6803,53.1512,"""Avantage"" hotel"
251,salalah,OM,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
252,balud,PH,10.1476,123.6953,Pulchra Resort
253,tecoanapa,MX,16.5167,-98.75,Hotel Garapacho
254,kjollefjord,NO,70.9457,27.3465,Hotel Nordkyn
255,avarua,CK,-21.2078,-159.775,The Islander Hotel
256,hobyo,SO,5.3505,48.5268,
257,mahibadhoo,MV,3.7833,72.9667,
258,skjervoy,NO,70.0311,20.9714,Hotel Maritim Skjervøy AS
259,namatanai,PG,-3.6667,152.4333,Bo Lodge
260,illapel,CL,-31.6308,-71.1653,Hotel Casablanca
261,orcopampa,PE,-15.2661,-72.3417,HOSTAL SEGURA
